Agency,City,State,Legacy NTD ID,NTD ID,Organization Type,Reporter Type,"Primary UZA
 Population",Agency VOMS,Mode,TOS,Mode VOMS,Ratios:,Fare Revenues per Unlinked Passenger Trip ,Fare Revenues per Unlinked Passenger Trip Questionable,Fare Revenues per Total Operating Expense (Recovery Ratio),Fare Revenues per Total Operating Expense (Recovery Ratio) Questionable,"Cost per
 Hour",Cost per Hour Questionable,Passengers per Hour,Passengers per Hour Questionable,Cost per Passenger,Cost per Passenger Questionable,Cost per Passenger Mile,Cost per Passenger Mile Questionable,Source Data:,Fare Revenues Earned,Fare Revenues Earned Questionable,Total Operating Expenses,Total Operating Expenses Questionable,Unlinked Passenger Trips,Unlinked Passenger Trips Questionable,Vehicle Revenue Hours,Vehicle Revenue Hours Questionable,Passenger Miles,Passenger Miles Questionable,Vehicle Revenue Miles,Vehicle Revenue Miles Questionable,Any data questionable?,,,,0,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295 ","3,494",YR,PT,16,,$0.58 ,,0.03 ,,$702.68 ,,31.6 ,,$22.26 ,,$1.55 ,,,"$855,736 ",,"$32,865,522 ",,"1,476,118 ",,"46,772 ",,"21,234,591 ",,"1,189,311 ",,No,,,,,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295 ","3,494",LR,DO,15,,$1.03 ,,0.11 ,,$485.42 ,,49.9 ,,$9.72 ,,$4.25 ,,,"$2,762,998 ",,"$26,073,807 ",,"2,681,196 ",,"53,714 ",,"6,137,281 ",,"505,977 ",,No,,,,,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295 ","3,494",VP,PT,114,,$4.31 ,,0.26 ,,$126.22 ,,7.6 ,,$16.72 ,,$0.82 ,,,"$770,486 ",,"$2,987,453 ",,"178,708 ",,"23,668 ",,"3,647,028 ",,"901,914 ",,No,,,,,,
Washington Metropolitan Area Transit Authority,Washington,DC,3030,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,586,770 ","2,728",HR,DO,998,,$2.11 ,,0.06 ,,$396.12 ,,11.6 ,,$34.06 ,,$6.24 ,,,"$77,256,463 ",,"$1,244,974,967 ",,"36,550,201 ",,"3,142,911 ",,"199,671,853 ",,"72,843,843 ",,No,,,,,,
Washington Metropolitan Area Transit Authority,Washington,DC,3030,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,586,770 ","2,728",MB,DO,963,,$0.38 ,,0.03 ,,$249.31 ,,18.1 ,,$13.76 ,,$4.51 ,,,"$19,559,823 ",,"$704,319,606 ",,"51,179,137 ",,"2,825,065 ",,"156,237,247 ",,"27,910,366 ",,No,,,,,,
Washington Metropolitan Area Transit Authority,Washington,DC,3030,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,586,770 ","2,728",DR,TX,76,,$4.75 ,,0.05 ,,$239.92 ,,2.5 ,,$97.23 ,,$9.97 ,,,"$26,887 ",,"$550,625 ",,"5,663 ",,"2,295 ",,"55,225 ",,"55,225 ",,No,,,,,,
Washington Metropolitan Area Transit Authority,Washington,DC,3030,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,586,770 ","2,728",DR,PT,644,,$4.15 ,,0.03 ,,$103.37 ,,0.8 ,,$135.62 ,,$16.47 ,,,"$4,389,022 ",,"$143,599,067 ",,"1,058,839 ",,"1,389,136 ",,"8,720,576 ",,"14,124,258 ",,No,,,,,,
Washington Metropolitan Area Transit Authority,Washington,DC,3030,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,586,770 ","2,728",MB,PT,47,,$0.70 ,,0.05 ,,$172.11 ,,12.9 ,,$13.35 ,,$2.34 ,,,"$806,991 ",,"$15,309,370 ",,"1,146,530 ",,"88,952 ",,"6,546,471 ",,"1,302,856 ",,No,,,,,,
Chicago Transit Authority,Chicago,IL,5066,50066,Independent Public Agency or Authority of Transit Service,Full Reporter,"8,608,208 ","2,685",MB,DO,"1,525",,$1.17 ,,0.17 ,,$158.32 ,,22.8 ,,$6.96 ,,$2.75 ,,,"$136,959,554 ",,"$816,462,326 ",,"117,357,515 ",,"5,156,899 ",,"296,815,552 ",,"46,999,961 ",,No,,,,,,
Chicago Transit Authority,Chicago,IL,5066,50066,Independent Public Agency or Authority of Transit Service,Full Reporter,"8,608,208 ","2,685",HR,DO,"1,160",,$1.39 ,,0.16 ,,$166.91 ,,19.5 ,,$8.56 ,,$1.34 ,W,,"$108,906,840 ",,"$673,135,185 ",,"78,623,048 ",,"4,032,851 ",,"501,767,758 ",W,"72,369,642 ",,Yes,,,,,,
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996 ","2,541",VP,PT,813,,$7.49 ,,0.94 ,,$24.21 ,,3.0 ,,$7.98 ,,$0.17 ,,,"$8,505,347 ",,"$9,070,661 ",,"1,136,208 ",,"374,727 ",,"53,378,163 ",,"14,983,841 ",,No,,,,,,
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996 ","2,541",HR,DO,54,,$0.14 ,,0.02 ,,$568.36 ,,65.6 ,,$8.66 ,,$1.65 ,,,"$2,562,916 ",,"$163,561,942 ",,"18,888,550 ",,"287,777 ",,"99,058,351 ",,"6,255,775 ",,No,,,,,,
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996 ","2,541",DR,DO,41,,$0.00 ,,0.00 ,,$455.42 ,,1.1 ,,$410.58 ,,$164.73 ,,,$0 ,,"$17,286,869 ",,"42,104 ",,"37,958 ",,"104,942 ",,"274,057 ",,No,,,,,,
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996 ","2,541",RB,DO,15,,$0.13 ,,0.01 ,,$399.60 ,,35.8 ,,$11.16 ,,$1.91 ,,,"$374,064 ",,"$32,906,896 ",,"2,949,449 ",,"82,349 ",,"17,256,952 ",,"1,256,269 ",,No,,,,,,
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996 ","2,541",MB,DO,"1,399",,$0.11 ,,0.02 ,,$203.48 ,,29.0 ,,$7.02 ,,$2.45 ,,,"$15,858,418 ",,"$998,713,889 ",,"142,272,806 ",,"4,908,070 ",,"406,991,963 ",,"51,519,197 ",,No,,,,,,
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996 ","2,541",LR,DO,110,,$0.13 ,,0.01 ,,$663.94 ,,38.6 ,,$17.22 ,,$2.61 ,,,"$3,053,610 ",,"$393,871,053 ",,"22,871,129 ",,"593,233 ",,"151,162,455 ",,"12,421,319 ",,No,,,,,,
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996 ","2,541",MB,PT,109,,$0.01 ,,0.00 ,,$141.88 ,,18.5 ,,$7.68 ,,$2.02 ,,,"$39,811 ",,"$50,351,055 ",,"6,559,583 ",,"354,886 ",,"24,874,038 ",,"4,284,300 ",,No,,,,,,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393 ","2,350",MB,DO,824,,$0.96 ,,0.07 ,,$208.89 ,,14.9 ,,$14.05 ,,$3.41 ,,,"$40,536,170 ",,"$591,780,147 ",,"42,112,037 ",,"2,832,920 ",,"173,679,796 ",,"30,859,322 ",,No,,,,,,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393 ","2,350",DR,TX,79,,$0.93 ,,0.02 ,,$135.60 ,,2.8 ,,$48.76 ,,$4.19 ,,,"$82,828 ",,"$4,336,772 ",,"88,944 ",,"31,982 ",,"1,034,484 ",,"934,957 ",,No,,,,,,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393 ","2,350",MB,PT,41,,$0.61 ,,0.02 ,,$146.59 ,,5.1 ,,$28.71 ,,$7.47 ,,,"$258,046 ",,"$12,178,959 ",,"424,166 ",,"83,079 ",,"1,631,439 ",,"994,051 ",,No,,,,,,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393 ","2,350",DR,PT,230,,$1.55 ,,0.01 ,,$143.36 ,,1.2 ,,$119.05 ,,$11.90 ,,,"$727,350 ",,"$55,727,925 ",,"468,104 ",,"388,714 ",,"4,681,124 ",,"4,022,799 ",,No,,,,,,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393 ","2,350",FB,DO,2,,$4.89 ,,0.20 ,,"$1,384.19 ",,55.7 ,,$24.87 ,,$7.25 ,,,"$1,402,145 ",,"$7,132,706 ",,"286,843 ",,"5,153 ",,"984,134 ",,"49,606 ",,No,,,,,,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393 ","2,350",TB,DO,126,,$0.96 ,,0.10 ,,$189.37 ,,19.7 ,,$9.59 ,,$5.33 ,,,"$7,677,710 ",,"$76,487,986 ",,"7,976,186 ",,"403,910 ",,"14,349,255 ",,"2,685,561 ",,No,,,,,,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393 ","2,350",VP,DO,"1,038",,$7.97 ,,0.58 ,,$69.34 ,,5.0 ,,$13.79 ,,$0.67 ,,,"$4,082,938 ",,"$7,064,351 ",,"512,160 ",,"101,881 ",,"10,548,410 ",,"3,264,549 ",,No,,,,,,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393 ","2,350",SR,DO,10,,$0.47 ,W,0.03 ,,$308.55 ,,22.8 ,W,$13.52 ,W,$11.30 ,W,,"$387,766 ",,"$11,218,266 ",,"829,953 ",W,"36,358 ",,"992,847 ",W,"187,454 ",,Yes,,,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019 ","2,252",FB,PT,8,,$8.06 ,,0.10 ,,$975.98 ,,11.9 ,,$82.06 ,,$10.31 ,,,"$1,398,923 ",,"$14,245,405 ",,"173,607 ",,"14,596 ",,"1,382,134 ",,"149,859 ",,No,,,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019 ","2,252",MB,DO,775,,$0.69 ,,0.07 ,,$227.62 ,,22.5 ,,$10.12 ,,$3.85 ,,,"$32,625,945 ",,"$479,392,062 ",,"47,350,398 ",,"2,106,120 ",,"124,526,862 ",,"19,793,493 ",,No,,,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019 ","2,252",MB,PT,69,,$0.19 ,,0.02 ,,$50.02 ,,4.4 ,,$11.40 ,,$4.89 ,,,"$86,174 ",,"$5,263,653 ",,"461,917 ",,"105,226 ",,"1,076,279 ",,"1,192,323 ",,No,,,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019 ","2,252",DR,PT,432,,$2.98 ,,0.02 ,,$145.86 ,,1.1 ,,$131.66 ,,$17.69 ,,,"$2,258,209 ",,"$99,896,936 ",,"758,764 ",,"684,902 ",,"5,646,101 ",,"9,610,603 ",,No,,,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019 ","2,252",CR,PT,416,,$4.72 ,,0.08 ,,$580.26 ,,10.4 ,,$55.61 ,,$2.51 ,,,"$33,040,564 ",,"$389,025,226 ",,"6,995,413 ",,"670,434 ",,"155,056,157 ",,"19,929,696 ",,No,,,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019 ","2,252",RB,DO,39,,$0.71 ,,0.11 ,,$186.48 ,,30.1 ,,$6.20 ,,$2.91 ,,,"$3,378,001 ",,"$29,622,107 ",,"4,780,593 ",,"158,851 ",,"10,173,308 ",,"1,475,936 ",,No,,,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019 ","2,252",HR,DO,336,,$1.52 ,,0.20 ,,$228.91 ,,30.2 ,,$7.57 ,,$2.31 ,,,"$68,286,616 ",,"$339,406,955 ",,"44,823,236 ",,"1,482,732 ",,"146,795,474 ",,"22,284,336 ",,No,,,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019 ","2,252",TB,DO,22,,$0.75 ,,0.04 ,,$380.24 ,,19.8 ,,$19.22 ,,$8.03 ,,,"$622,495 ",,"$16,022,500 ",,"833,836 ",,"42,138 ",,"1,996,401 ",,"378,401 ",,No,,,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019 ","2,252",LR,DO,155,,$1.72 ,,0.13 ,,$313.67 ,,23.7 ,,$13.21 ,,$5.29 ,,,"$25,348,280 ",,"$195,217,858 ",,"14,774,020 ",,"622,368 ",,"36,878,734 ",,"5,157,964 ",,No,,,,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567 ","2,099",MB,PT,3,,$0.11 ,,0.00 ,,$98.22 ,,2.7 ,,$35.78 ,,$5.44 ,W,,"$2,327 ",,"$769,631 ",,"21,512 ",,"7,836 ",,"141,581 ",W,"127,068 ",,Yes,,,,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567 ","2,099",TB,DO,29,,$1.14 ,W,0.17 ,,$135.45 ,,20.7 ,W,$6.53 ,W,$3.20 ,W,,"$2,309,743 ",,"$13,230,552 ",,"2,026,394 ",W,"97,682 ",,"4,132,774 ",W,"820,512 ",,Yes,,,,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567 ","2,099",CR,DO,286,,$4.07 ,W,0.10 ,,$468.34 ,,11.4 ,W,$41.11 ,W,$3.07 ,W,,"$27,975,734 ",,"$282,492,994 ",,"6,871,251 ",W,"603,181 ",,"92,146,351 ",W,"11,874,654 ",,Yes,,,,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567 ","2,099",HR,DO,286,,$1.21 ,W,0.17 ,,$214.80 ,,29.8 ,W,$7.22 ,W,$1.64 ,W,,"$34,560,566 ",,"$206,672,297 ",,"28,642,836 ",W,"962,155 ",,"126,097,585 ",W,"16,213,547 ",,Yes,,,,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567 ","2,099",DR,PT,175,,$3.79 ,,0.05 ,,$98.42 ,,1.2 ,,$83.16 ,,$13.44 ,,,"$1,936,430 ",,"$42,540,956 ",,"511,572 ",,"432,247 ",,"3,164,694 ",,"4,193,545 ",,No,,,,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567 ","2,099",MB,DO,"1,212",,$1.25 ,W,0.12 ,,$168.70 ,,15.5 ,W,$10.86 ,W,$3.49 ,W,,"$75,562,323 ",,"$654,621,108 ",,"60,285,701 ",W,"3,880,346 ",,"187,793,685 ",W,"38,714,661 ",,Yes,,,,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567 ","2,099",SR,DO,108,,$1.30 ,W,0.13 ,,$275.66 ,,26.5 ,W,$10.40 ,W,$4.07 ,W,,"$9,715,467 ",,"$77,536,862 ",,"7,452,795 ",W,"281,275 ",,"19,033,147 ",W,"2,472,828 ",,Yes,,,,,,
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,4034,40034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"5,502,379 ","1,386",CB,PT,9,,$0.14 ,,0.02 ,,$66.41 ,,9.0 ,,$7.39 ,,$0.19 ,,,"$49,899 ",,"$2,620,842 ",,"354,555 ",,"39,466 ",,"13,775,503 ",,"1,238,884 ",,No,,,,,,
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,4034,40034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"5,502,379 ","1,386",MB,DO,592,,$0.58 ,,0.05 ,,$222.20 ,,19.3 ,,$11.53 ,,$2.27 ,W,,"$18,774,597 ",,"$373,959,723 ",,"32,423,384 ",,"1,683,016 ",,"164,516,250 ",W,"22,476,550 ",,Yes,,,,,,
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,4034,40034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"5,502,379 ","1,386",HR,DO,52,,$0.52 ,,0.05 ,,$422.25 ,,37.9 ,,$11.15 ,,$1.51 ,W,,"$4,908,513 ",,"$104,725,108 ",,"9,390,699 ",,"248,017 ",,"69,332,094 ",W,"4,945,303 ",,Yes,,,,,,
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,4034,40034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"5,502,379 ","1,386",DR,PT,374,,$0.70 ,,0.02 ,,$38.64 ,,1.2 ,,$31.01 ,,$2.69 ,,,"$896,110 ",,"$39,683,736 ",,"1,279,670 ",,"1,026,903 ",,"14,744,183 ",,"12,879,033 ",,No,,,,,,
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,4034,40034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"5,502,379 ","1,386",MG,DO,21,,$0.00 ,,0.00 ,,$336.17 ,,39.6 ,,$8.49 ,,$9.04 ,W,,$0 ,,"$29,596,747 ",,"3,487,207 ",,"88,041 ",,"3,275,559 ",W,"898,037 ",,Yes,,,,,,
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,4034,40034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"5,502,379 ","1,386",MB,PT,172,,$0.18 ,,0.06 ,,$29.43 ,,9.5 ,,$3.09 ,,$0.81 ,W,,"$712,476 ",,"$12,105,311 ",,"3,918,222 ",,"411,385 ",,"14,955,853 ",W,"4,868,281 ",,Yes,,,,,,
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,4034,40034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"5,502,379 ","1,386",VP,PT,166,,$5.08 ,,1.56 ,,$18.19 ,,5.6 ,,$3.25 ,,$0.11 ,,,"$1,556,107 ",,"$995,255 ",,"306,044 ",,"54,711 ",,"9,280,456 ",,"2,459,522 ",,No,,,,,,
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332 ","1,367",RB,DO,8,,$0.11 ,,0.00 ,,$122.05 ,,4.3 ,,$28.20 ,,$8.79 ,,,"$25,188 ",,"$6,525,856 ",,"231,412 ",,"53,467 ",,"742,596 ",,"401,492 ",,No,,,,,,
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332 ","1,367",LR,DO,50,,$0.18 ,,0.02 ,,$392.56 ,,38.6 ,,$10.16 ,,$3.46 ,,,"$1,501,981 ",,"$86,144,802 ",,"8,476,224 ",,"219,444 ",,"24,921,037 ",,"2,606,610 ",,No,,,,,,
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332 ","1,367",MB,DO,447,,$0.47 ,,0.04 ,,$160.17 ,,13.8 ,,$11.60 ,,$2.07 ,,,"$12,599,512 ",,"$310,469,794 ",,"26,759,617 ",,"1,938,398 ",,"149,710,975 ",,"25,261,079 ",,No,,,,,,
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332 ","1,367",DR,PT,322,,$0.83 ,,0.02 ,,$57.88 ,,1.2 ,,$46.42 ,,$4.51 ,,,"$886,979 ",,"$49,452,604 ",,"1,065,398 ",,"854,463 ",,"10,976,718 ",,"11,947,051 ",,No,,,,,,
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332 ","1,367",CB,PT,22,,$3.04 ,,0.23 ,,$183.63 ,,14.2 ,,$12.97 ,,$0.61 ,,,"$918,568 ",,"$3,918,382 ",,"302,142 ",,"21,339 ",,"6,425,820 ",,"714,615 ",,No,,,,,,
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332 ","1,367",VP,DO,168,,$4.11 ,,0.34 ,,$58.36 ,,4.8 ,,$12.17 ,,$0.38 ,,,"$1,135,688 ",,"$3,358,821 ",,"275,998 ",,"57,550 ",,"8,735,583 ",,"2,055,043 ",,No,,,,,,
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332 ","1,367",DR,TX,124,,$0.97 ,,0.08 ,,$89.90 ,,7.6 ,,$11.81 ,,$2.95 ,,,"$168,010 ",,"$2,041,221 ",,"172,892 ",,"22,705 ",,"691,034 ",,"614,767 ",,No,,,,,,
