"agency","city","state","ntd_id","organization_type","reporter_type","report_year","uace_code","uza_name","primary_uza_population","agency_voms","mode","mode_name","type_of_service","mode_voms","fare_revenues_per_unlinked","fare_revenues_per_unlinked_1","fare_revenues_per_total","fare_revenues_per_total_1","cost_per_hour","cost_per_hour_questionable","passengers_per_hour","passengers_per_hour_1","cost_per_passenger","cost_per_passenger_1","cost_per_passenger_mile","cost_per_passenger_mile_1","fare_revenues_earned","fare_revenues_earned_1","total_operating_expenses","total_operating_expenses_1","unlinked_passenger_trips","unlinked_passenger_trips_1","vehicle_revenue_hours","vehicle_revenue_hours_1","passenger_miles","passenger_miles_questionable","vehicle_revenue_miles","vehicle_revenue_miles_1"
"Pierce County Transportation Benefit Area Authority","Lakewood","WA","00003","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","80389","Seattle--Tacoma, WA","3544011","382","VP","Vanpool","DO","214","4.0123",,"0.3556",,"50.2302",,"4.4515",,"11.284",,"0.3858",,"1535720",,"4318946",,"382751",,"85983",,"11193468",,"3028154",
"Confederated Tribes of the Colville Indian Reservation","Nespelem","WA","00004","Tribe","Reduced Reporter","2022","00053","Washington Non-UZA","1895776","5","MB","Bus","DO","4","0",,"0",,"152.5182",,"1.5453",,"98.6973",,"0",,"0",,"292835",,"2967",,"1920",,"0",,"56574",
"Confederated Tribes of the Colville Indian Reservation","Nespelem","WA","00004","Tribe","Reduced Reporter","2022","00053","Washington Non-UZA","1895776","5","FB","Ferryboat","DO","1","0",,"0",,"215.8067",,"24.762",,"8.7152",,"0",,"0",,"1158882",,"132972",,"5370",,"0",,"20048",
"City of Everett, dba: EVERETT TRANSIT","Everett","WA","00005","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","80389","Seattle--Tacoma, WA","3544011","42","DR","Demand Response","DO","15","1.7474",,"0.019",,"211.4703",,"2.3034",,"91.8084",,"18.0813",,"112410",,"5905942",,"64329",,"27928",,"326632",,"330335",
"City of Everett, dba: EVERETT TRANSIT","Everett","WA","00005","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","80389","Seattle--Tacoma, WA","3544011","42","MB","Bus","DO","27","0.6923",,"0.0391",,"192.4401",,"10.8656",,"17.7109",,"4.679",,"697819",,"17851707",,"1007952",,"92765",,"3815254",,"1115803",
"City of Yakima, dba: Yakima Transit","Yakima","WA","00006","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","97507","Yakima, WA","133145","44","CB","Commuter Bus","PT","2","10.5079",,"0.3711",,"117.0797",,"4.1348",,"28.3158",,"0.8579",,"193082",,"520302",,"18375",,"4444",,"606482",,"146393",
"City of Yakima, dba: Yakima Transit","Yakima","WA","00006","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","97507","Yakima, WA","133145","44","MB","Bus","DO","18","0.6762","W","0.0408",,"124.6304",,"7.5286","W","16.5544","W","3.9411","W","307625",,"7530794",,"454913","W","60425",,"1910826","W","710402",
"City of Yakima, dba: Yakima Transit","Yakima","WA","00006","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","97507","Yakima, WA","133145","44","DR","Demand Response","PT","24","1.7554",,"0.034",,"74.2824",,"1.4391",,"51.6185",,"14.6001",,"70560",,"2074856",,"40196",,"27932",,"142112",,"258268",
"Lane Transit District","Eugene","OR","00007","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","28117","Eugene, OR","270179","120","MB","Bus","DO","52","0.716",,"0.059",,"207.6756",,"17.1061",,"12.1404",,"3.2376","W","2026857",,"34366986",,"2830785",,"165484",,"10614948","W","2073463",
"Lane Transit District","Eugene","OR","00007","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","28117","Eugene, OR","270179","120","VP","Vanpool","PT","5","6.0079",,"0.538",,"49.3387",,"4.4184",,"11.1668",,"0.2034",,"39340",,"73120",,"6548",,"1482",,"359527",,"79669",
"Lane Transit District","Eugene","OR","00007","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","28117","Eugene, OR","270179","120","RB","Bus Rapid Transit","DO","13","0.8267",,"0.1334",,"211.5963",,"34.1552",,"6.1952",,"2.4547","W","1773161",,"13288461",,"2144978",,"62801",,"5413539","W","718396",
"Lane Transit District","Eugene","OR","00007","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","28117","Eugene, OR","270179","120","DR","Demand Response","PT","18","3.3094",,"0.0692",,"96.3232",,"2.0142",,"47.8218",,"7.1752",,"251445",,"3633406",,"75978",,"37721",,"506384",,"532634",
"Lane Transit District","Eugene","OR","00007","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","28117","Eugene, OR","270179","120","MB","Bus","PT","2","1.8013",,"0.0413",,"93.7073",,"2.1475",,"43.6348",,"1.6879",,"18197",,"440799",,"10102",,"4704",,"261147",,"98038",
"Lane Transit District","Eugene","OR","00007","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","28117","Eugene, OR","270179","120","DR","Demand Response","TX","30","45.9715",,"1.8475",,"64.7028",,"2.6002",,"24.8836",,"2.4059",,"10473360",,"5669061",,"227823",,"87617",,"2356332",,"2008272",
"Tri-County Metropolitan Transportation District of Oregon","Portland","OR","00008","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","71317","Portland, OR--WA","2104238","753","DR","Demand Response","PT","138","13.1334",,"0.1689",,"124.3421",,"1.5992",,"77.7515",,"9.7819",,"5276365",,"31236840",,"401752",,"251217",,"3193320",,"3473936",
"Tri-County Metropolitan Transportation District of Oregon","Portland","OR","00008","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","71317","Portland, OR--WA","2104238","753","LR","Light Rail","DO","94","1.0313",,"0.1202",,"270.6122",,"31.5467",,"8.5782",,"1.5848",,"19171210",,"159463940",,"18589527",,"589271",,"100621469",,"8232882",
"Tri-County Metropolitan Transportation District of Oregon","Portland","OR","00008","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","71317","Portland, OR--WA","2104238","753","MB","Bus","DO","498","0.9494",,"0.0952",,"164.2994",,"16.4691",,"9.9762",,"3.157",,"28943622",,"304122876",,"30484694",,"1851028",,"96334242",,"20225984",
"Tri-County Metropolitan Transportation District of Oregon","Portland","OR","00008","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","71317","Portland, OR--WA","2104238","753","YR","Hybrid Rail","PT","4","0.7244",,"0.0084",,"1743.9399",,"20.2548",,"86.1003",,"10.6192",,"74761",,"8885374",,"103198",,"5095",,"836725",,"103837",
"Tri-County Metropolitan Transportation District of Oregon","Portland","OR","00008","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","71317","Portland, OR--WA","2104238","753","DR","Demand Response","TX","19","13.1334",,"0.2059",,"143.353",,"2.2477",,"63.7781",,"5.2643",,"475061",,"2306980",,"36172",,"16093",,"438230",,"399352",
"Kalispel Tribe of Indians","Cusick","WA","00009","Tribe","Reduced Reporter","2022","00053","Washington Non-UZA","1895776","1","MB","Bus","DO","1","0",,"0",,"350.8744",,"1.533",,"228.8816",,"0",,"0",,"276489",,"1208",,"788",,"0",,"25943",
"Klamath Tribes","Chiloquin","OR","00010","Tribe","Reduced Reporter","2022","00041","Oregon Non-UZA","1553447","7","CB","Commuter Bus","DO","3","0",,"0",,"143.7947",,"1.7863",,"80.4997",,"0",,"0",,"530171",,"6586",,"3687",,"0",,"86203",
"Klamath Tribes","Chiloquin","OR","00010","Tribe","Reduced Reporter","2022","00041","Oregon Non-UZA","1553447","7","DR","Demand Response","DO","4","0",,"0",,"93.391",,"0.6562",,"142.3171",,"0",,"0",,"271114",,"1905",,"2903",,"0",,"74775",
"Valley Regional Transit","Meridian","ID","00011","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","08785","Boise City, ID","433180","70","MB","Bus","PT","38","0.738",,"0.0514",,"162.5032",,"11.3123",,"14.3652",,"3.7676",,"677326",,"13183401",,"917730",,"81127",,"3499140",,"1398420",
"Valley Regional Transit","Meridian","ID","00011","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","08785","Boise City, ID","433180","70","DR","Demand Response","PT","32","0.7948",,"0.0136",,"153.2757",,"2.6168",,"58.5744",,"10.0676",,"85943",,"6334119",,"108138",,"41325",,"629159",,"632694",
"Municipality of Anchorage, dba: Public Transportation","Anchorage","AK","00012","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","02305","Anchorage, AK","249252","168","VP","Vanpool","PT","88","7.3844",,"1.2666",,"33.7034",,"5.7808",,"5.8303",,"0.1418",,"1400709",,"1105911",,"189684",,"32813",,"7799636",,"1582484",
"Municipality of Anchorage, dba: Public Transportation","Anchorage","AK","00012","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","02305","Anchorage, AK","249252","168","MB","Bus","DO","47","1.2107",,"0.0946",,"161.3488",,"12.6043",,"12.8011",,"2.9864","W","2921052",,"30885551",,"2412726",,"191421",,"10342197","W","2280229",
"Municipality of Anchorage, dba: Public Transportation","Anchorage","AK","00012","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","02305","Anchorage, AK","249252","168","DR","Demand Response","PT","33","4.5462",,"0.1006",,"104.7198",,"2.3166",,"45.2043",,"7.4196",,"587650",,"5843154",,"129261",,"55798",,"787529",,"719394",
"Sitka Tribe of Alaska","Sitka","AK","00014","Tribe","Reduced Reporter","2022","00002","Alaska Non-UZA","359299","2","MB","Bus","DO","2","0.9271",,"0.0544",,"88.0983",,"5.1728",,"17.0311",,"0",,"36890",,"677652",,"39789",,"7692",,"0",,"95045",
"Snoqualmie Indian Tribe","Snoqualmie","WA","00015","Tribe","Reduced Reporter","2022","00053","Washington Non-UZA","1895776","3","DR","Demand Response","DO","3","0",,"0",,"9425.8235",,"0.4412",,"21365.2",,"0",,"0",,"320478",,"15",,"34",,"0",,"337",
"RiverCities Transit","Longview","WA","00016","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","51283","Longview, WA--OR","69841","21","MB","Bus","DO","10","0.4882",,"0.0256",,"145.623",,"7.6461",,"19.0455",,"4.4499",,"100439",,"3918423",,"205740",,"26908",,"880567",,"347971",
"RiverCities Transit","Longview","WA","00016","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","51283","Longview, WA--OR","69841","21","CB","Commuter Bus","DO","1","0.3666",,"0.0028",,"255.1288",,"1.9735",,"129.2783",,"10.7732",,"191",,"67354",,"521",,"264",,"6252",,"8571",
"RiverCities Transit","Longview","WA","00016","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","51283","Longview, WA--OR","69841","21","DR","Demand Response","PT","10","0.6446",,"0.0137",,"92.7612",,"1.9767",,"46.9271",,"15.3071",,"19475",,"1417855",,"30214",,"15285",,"92627",,"126768",
"Stillaguamish Tribe of Indians","Arlington","WA","00017","Tribe","Reduced Reporter","2022","00053","Washington Non-UZA","1895776","5","DR","Demand Response","DO","5","0",,"0",,"317.7093",,"5.4862",,"57.9111",,"0",,"0",,"367272",,"6342",,"1156",,"0",,"37740",
"Ben Franklin Transit","Richland","WA","00018","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","44479","Kennewick--Richland--Pasco, WA","255401","268","MB","Bus","DO","51","0.4042",,"0.0271",,"123.1999",,"8.2562",,"14.922",,"3.5444",,"720244",,"26588389",,"1781820",,"215815",,"7501462",,"3456000","Q"
"Ben Franklin Transit","Richland","WA","00018","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","44479","Kennewick--Richland--Pasco, WA","255401","268","DR","Demand Response","DO","65","1.024",,"0.0162",,"138.11",,"2.1843",,"63.2298",,"8.3287",,"222741",,"13754378",,"217530",,"99590",,"1651440",,"1576144",
"Ben Franklin Transit","Richland","WA","00018","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","44479","Kennewick--Richland--Pasco, WA","255401","268","DR","Demand Response","PT","35","0.225",,"0.0107",,"63.6753",,"3.0151",,"21.1187",,"4.7661",,"34608",,"3247759",,"153786",,"51005",,"681432",,"1101253",
"Ben Franklin Transit","Richland","WA","00018","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","44479","Kennewick--Richland--Pasco, WA","255401","268","VP","Vanpool","DO","117","2.9374",,"0.433",,"48.1528",,"7.0982",,"6.7838",,"0.1955",,"717984",,"1658143",,"244427",,"34435",,"8481180",,"1495493",
"Intercity Transit","Olympia","WA","00019","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","65242","Olympia--Lacey, WA","208157","240","CB","Commuter Bus","DO","2","0",,"0",,"183.1078",,"8.9128",,"20.5444",,"1.0443",,"0",,"1704367",,"82960",,"9308",,"1632015",,"219341",
"Intercity Transit","Olympia","WA","00019","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","65242","Olympia--Lacey, WA","208157","240","MB","Bus","DO","46","0",,"0",,"176.8284",,"15.1819",,"11.6473",,"3.193",,"0",,"33612259",,"2885836",,"190084",,"10526715",,"2511636",
"Intercity Transit","Olympia","WA","00019","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","65242","Olympia--Lacey, WA","208157","240","DR","Demand Response","DO","45","0",,"0",,"197.7367",,"1.6465",,"120.0924",,"21.4478",,"0",,"15612495",,"130004",,"78956",,"727929",,"821521",
"Intercity Transit","Olympia","WA","00019","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","65242","Olympia--Lacey, WA","208157","240","VP","Vanpool","DO","147","1.8991",,"0.148",,"53.5532",,"4.1741",,"12.8298",,"0.2712",,"404230",,"2730894",,"212856",,"50994",,"10068281",,"2230425",
"Kitsap Transit","Bremerton","WA","00020","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","09946","Bremerton, WA","224449","218","MB","Bus","DO","92","1.8127",,"0.0677",,"272.4281",,"10.1734",,"26.7784",,"5.0757",,"2001125",,"29561985",,"1103948",,"108513",,"5824210",,"2138930",
"Kitsap Transit","Bremerton","WA","00020","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","09946","Bremerton, WA","224449","218","DR","Demand Response","TX","2","2",,"0.0213",,"242.9322",,"2.5819",,"94.0897",,"7.5962",,"6398",,"300993",,"3199",,"1239",,"39624",,"38681",
"Kitsap Transit","Bremerton","WA","00020","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","09946","Bremerton, WA","224449","218","VP","Vanpool","DO","45","2.433",,"0.1804",,"63.0957",,"4.6773",,"13.4898",,"0.6726",,"183660",,"1018301",,"75487",,"16139",,"1513991",,"484203",
"Kitsap Transit","Bremerton","WA","00020","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","09946","Bremerton, WA","224449","218","FB","Ferryboat","DO","6","3.7089",,"0.1665",,"1188.9872",,"53.381",,"22.2736",,"2.1856",,"2947815",,"17702830",,"794789",,"14889",,"8099750",,"264357",
"Kitsap Transit","Bremerton","WA","00020","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","09946","Bremerton, WA","224449","218","DR","Demand Response","DO","73","0.8204",,"0.0123",,"194.7015",,"2.9162",,"66.7656",,"11.1969",,"183803",,"14957358",,"224028",,"76822",,"1335850",,"1183082",
"Whatcom Transportation Authority","Bellingham","WA","00021","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","06652","Bellingham, WA","128979","96","DR","Demand Response","DO","41","0.4513",,"0.0054",,"205.1888",,"2.442",,"84.0255",,"17.1704",,"76252",,"14196605",,"168956",,"69188",,"826807",,"872046",
"Whatcom Transportation Authority","Bellingham","WA","00021","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","06652","Bellingham, WA","128979","96","MB","Bus","DO","47","0.4863",,"0.0484",,"186.0864",,"18.5254",,"10.0449",,"3.4484","W","1416699",,"29261151",,"2913033",,"157245",,"8485521","W","2133859",
"Whatcom Transportation Authority","Bellingham","WA","00021","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","06652","Bellingham, WA","128979","96","VP","Vanpool","DO","8","2.6848",,"0.3717",,"67.317",,"9.3198",,"7.223",,"0.2117",,"53671",,"144395",,"19991",,"2145",,"682081",,"115097",
"City of Pocatello, dba: Pocatello Regional Transit","Pocatello","ID","00022","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2022","70426","Pocatello, ID","72211","24","MB","Bus","DO","11","1.137",,"0.1293",,"68.51",,"7.7897",,"8.7949",,"0",,"143879",,"1112945",,"126544",,"16245",,"0",,"258832",
"City of Pocatello, dba: Pocatello Regional Transit","Pocatello","ID","00022","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2022","70426","Pocatello, ID","72211","24","DR","Demand Response","DO","13","6.4054",,"0.2396",,"82.9954",,"3.1048",,"26.7317",,"0",,"377398",,"1575004",,"58919",,"18977",,"0",,"326552",
"City of Seattle, dba: Seattle Center Monorail","Seattle","WA","00023","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","80389","Seattle--Tacoma, WA","3544011","8","MG","Monorail/Automated Guideway","PT","8","2.6434",,"0.8826",,"230.8829",,"77.0877",,"2.9951",,"3.3279",,"4319228",,"4893793",,"1633951",,"21196",,"1470556",,"228303",
"Clark County Public Transportation Benefit Area Authority","Vancouver","WA","00024","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","71317","Portland, OR--WA","2104238","159","VP","Vanpool","DO","16","4.6478",,"0.3402",,"72.2135",,"5.2859",,"13.6614",,"0.5679",,"105077",,"308857",,"22608",,"4277",,"543831",,"142089",
"Clark County Public Transportation Benefit Area Authority","Vancouver","WA","00024","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","71317","Portland, OR--WA","2104238","159","DR","Demand Response","DO","48","0.8188",,"0.01",,"191.8745",,"2.3373",,"82.0916",,"11.0488",,"151715",,"15211238",,"185296",,"79277",,"1376737",,"1361528",
"Clark County Public Transportation Benefit Area Authority","Vancouver","WA","00024","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","71317","Portland, OR--WA","2104238","159","MB","Bus","DO","95","0.6148",,"0.0491",,"180.8473",,"14.4583",,"12.5082",,"2.6645",,"2334126",,"47490144",,"3796727",,"262598",,"17823584",,"3726686",
"Salem Area Mass Transit District, dba: Salem-Keizer Transit or Cherriots","Salem","OR","00025","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","78229","Salem, OR","268331","149","VP","Vanpool","PT","42","5.8507",,"1.0795",,"34.9447",,"6.4475",,"5.4199",,"0.2099",,"257946",,"238952",,"44088",,"6838",,"1138557",,"299722",
"Salem Area Mass Transit District, dba: Salem-Keizer Transit or Cherriots","Salem","OR","00025","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","78229","Salem, OR","268331","149","MB","Bus","PT","11","2.1594",,"0.0703",,"89.5579",,"2.9167",,"30.7053",,"2.169",,"136837",,"1945736",,"63368",,"21726",,"897073",,"451728",
"Salem Area Mass Transit District, dba: Salem-Keizer Transit or Cherriots","Salem","OR","00025","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","78229","Salem, OR","268331","149","MB","Bus","DO","53","0.8278",,"0.0522",,"175.6869",,"11.0735",,"15.8656",,"5.1848","W","1688365",,"32358719",,"2039555",,"184184",,"6241038","W","2268251",
"Salem Area Mass Transit District, dba: Salem-Keizer Transit or Cherriots","Salem","OR","00025","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","78229","Salem, OR","268331","149","DR","Demand Response","PT","43","7.08",,"0.1133",,"111.5868",,"1.7858",,"62.4855",,"11.4786",,"509055",,"4492706",,"71900",,"40262",,"391398",,"487544",
"County of Pierce, dba: Pierce County Ferry","Tacoma","WA","00028","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","80389","Seattle--Tacoma, WA","3544011","2","FB","Ferryboat","PT","2","6.7975",,"0.299",,"1796.4043",,"79.0168",,"22.7345",,"5.5571",,"2979914",,"9966451",,"438385",,"5548",,"1793474",,"44548",
"Snohomish County Public Transportation Benefit Area Corporation","Everett","WA","00029","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","80389","Seattle--Tacoma, WA","3544011","481","CB","Commuter Bus","DO","46","3.6783",,"0.0763",,"434.1087",,"9.009",,"48.186",,"3.034",,"951641",,"12466733",,"258721",,"28718",,"4108975",,"643098",
"Snohomish County Public Transportation Benefit Area Corporation","Everett","WA","00029","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","80389","Seattle--Tacoma, WA","3544011","481","VP","Vanpool","DO","242","4.9961",,"0.3704",,"64.2105",,"4.7604",,"13.4886",,"0.5545",,"1405039",,"3793365",,"281228",,"59077",,"6841316",,"1999653",
"Snohomish County Public Transportation Benefit Area Corporation","Everett","WA","00029","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","80389","Seattle--Tacoma, WA","3544011","481","DR","Demand Response","PT","32","2.3807",,"0.0314",,"139.8307",,"1.8419",,"75.9179",,"6.4801",,"249349",,"7951333",,"104736",,"56864",,"1227037",,"1027867",
"Snohomish County Public Transportation Benefit Area Corporation","Everett","WA","00029","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","80389","Seattle--Tacoma, WA","3544011","481","CB","Commuter Bus","PT","49","8.884",,"0.3766",,"348.1525",,"14.757",,"23.5923",,"1.2895",,"4151863",,"11025641",,"467341",,"31669",,"8550050",,"819464",
"Snohomish County Public Transportation Benefit Area Corporation","Everett","WA","00029","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","80389","Seattle--Tacoma, WA","3544011","481","MB","Bus","DO","112","0.9541",,"0.0429",,"250.1227",,"11.2346",,"22.2637",,"3.9008",,"4458591",,"104040800",,"4673114",,"415959",,"26671544",,"6115987",
"Chickaloon Native Village","Palmer","AK","00030","Tribe","Reduced Reporter","2022","00002","Alaska Non-UZA","359299","2","DR","Demand Response","DO","2","1.0709",,"0.019",,"60.5461",,"1.0769",,"56.2234",,"0",,"2325",,"122061",,"2171",,"2016",,"0",,"29909",
"Shoshone-Bannock Tribes","Fort Hall","ID","00031","Tribe","Reduced Reporter","2022","00016","Idaho Non-UZA","836252","7","MB","Bus","DO","7","0",,"0",,"55.3938",,"1.3389",,"41.3725",,"0",,"0",,"885082",,"21393",,"15978",,"0",,"245420",
