"agency","city","state","ntd_id","organization_type","reporter_type","report_year","uace_code","uza_name","primary_uza_population","agency_voms","mode","mode_name","type_of_service","mode_voms","fare_revenues_per_unlinked","fare_revenues_per_unlinked_1","fare_revenues_per_total","fare_revenues_per_total_1","cost_per_hour","cost_per_hour_questionable","passengers_per_hour","passengers_per_hour_1","cost_per_passenger","cost_per_passenger_1","cost_per_passenger_mile","cost_per_passenger_mile_1","fare_revenues_earned","fare_revenues_earned_1","total_operating_expenses","total_operating_expenses_1","unlinked_passenger_trips","unlinked_passenger_trips_1","vehicle_revenue_hours","vehicle_revenue_hours_1","passenger_miles","passenger_miles_questionable","vehicle_revenue_miles","vehicle_revenue_miles_1"
"Spokane Transit Authority","Spokane","WA","00002","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","83764","Spokane, WA","447279","316","VP","Vanpool","DO","89","2.9446",,"0.3209",,"29.0828",,"3.1692",,"9.1766",,"0.3107",,"304084",,"947664",,"103270",,"32585",,"3050552",,"1096062",
"Pierce County Transportation Benefit Area Authority, dba: Pierce Transit","Lakewood","WA","00003","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","80389","Seattle--Tacoma, WA","3544011","416","DR","Demand Response","DO","14","1.3944",,"0.0172",,"163.7326",,"2.0183",,"81.1226",,"11.06",,"52188",,"3036257",,"37428",,"18544",,"274527",,"253977",
"Pierce County Transportation Benefit Area Authority, dba: Pierce Transit","Lakewood","WA","00003","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","80389","Seattle--Tacoma, WA","3544011","416","DR","Demand Response","PT","75","1.1276",,"0.0183",,"112.4951",,"1.8281",,"61.5377",,"8.4042",,"364178",,"19874954",,"322972",,"176674",,"2364880",,"2428510",
"Pierce County Transportation Benefit Area Authority, dba: Pierce Transit","Lakewood","WA","00003","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","80389","Seattle--Tacoma, WA","3544011","416","MB","Bus","DO","105","0.6895",,"0.0516",,"224.699",,"16.8003",,"13.3747",,"2.9057",,"4670852",,"90607159",,"6774524",,"403238",,"31182208",,"4524583",
"Pierce County Transportation Benefit Area Authority, dba: Pierce Transit","Lakewood","WA","00003","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","80389","Seattle--Tacoma, WA","3544011","416","VP","Vanpool","DO","222","4.2309",,"0.3188",,"50.6553",,"3.8171",,"13.2705",,"0.436",,"1534391",,"4812706",,"362661",,"95009",,"11039362",,"3206018",
"Confederated Tribes of the Colville Indian Reservation","Nespelem","WA","00004","Tribe","Reduced Reporter","2024","00053","Washington Non-UZA","1895776","5","FB","Ferryboat","DO","1","0",,"0",,"179.3471",,"25.6578",,"6.99",,"0",,"0",,"962735",,"137731",,"5368",,,,"20706",
"Confederated Tribes of the Colville Indian Reservation","Nespelem","WA","00004","Tribe","Reduced Reporter","2024","00053","Washington Non-UZA","1895776","5","MB","Bus","DO","4","0",,"0",,"83.4552",,"1.0896",,"76.593",,"0",,"0",,"149969",,"1958",,"1797",,,,"59845",
"City of Everett, dba: Everett Transit","Everett","WA","00005","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","80389","Seattle--Tacoma, WA","3544011","50","DR","Demand Response","DO","18","1.5515",,"0.0193",,"181.8063",,"2.2643",,"80.2933",,"14.8952",,"129248",,"6688837",,"83305",,"36791",,"449060",,"412193",
"City of Everett, dba: Everett Transit","Everett","WA","00005","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","80389","Seattle--Tacoma, WA","3544011","50","MB","Bus","DO","32","0.5663",,"0.0475",,"192.119",,"16.1097",,"11.9256",,"3.6066",,"992106",,"20892560",,"1751902",,"108748",,"5792919",,"1274180",
"City of Yakima, dba: Yakima Transit","Yakima","WA","00006","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","97507","Yakima, WA","133145","43","CB","Commuter Bus","PT","2","5.5633",,"0.2337",,"179.2135",,"7.5281",,"23.8059",,"0.7477",,"189932",,"812733",,"34140",,"4535",,"1087017",,"144142",
"City of Yakima, dba: Yakima Transit","Yakima","WA","00006","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","97507","Yakima, WA","133145","43","DR","Demand Response","PT","23","1.9736",,"0.059",,"55.9353",,"1.6718",,"33.4582",,"9.5595",,"105288",,"1784897",,"53347",,"31910",,"186714",,"328802",
"City of Yakima, dba: Yakima Transit","Yakima","WA","00006","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","97507","Yakima, WA","133145","43","MB","Bus","DO","18","0.4795","W","0.0402",,"166.0221",,"13.9098","W","11.9356","W","2.801","W","313346",,"7799052",,"653426","W","46976",,"2784389","W","672452",
"Lane Transit District","Eugene","OR","00007","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","28117","Eugene, OR","270179","141","DR","Demand Response","PT","35","2.0261",,"0.0437",,"91.8804",,"1.9835",,"46.3226",,"6.9494",,"254646",,"5822004",,"125684",,"63365",,"837773",,"804219",
"Lane Transit District","Eugene","OR","00007","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","28117","Eugene, OR","270179","141","DR","Demand Response","TX","31","48.5921",,"1.8419",,"72.7805",,"2.7588",,"26.3811",,"2.4937",,"13265305",,"7201852",,"272993",,"98953",,"2888012",,"2424895",
"Lane Transit District","Eugene","OR","00007","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","28117","Eugene, OR","270179","141","MB","Bus","DO","53","0.7178",,"0.0576",,"265.0407",,"21.2676",,"12.4622",,"3.317",,"2521764",,"43784717",,"3513412",,"165200",,"13200206",,"2085152",
"Lane Transit District","Eugene","OR","00007","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","28117","Eugene, OR","270179","141","MB","Bus","PT","3","1.9596",,"0.0485",,"96.7882",,"2.3971",,"40.3767",,"1.5693",,"27170",,"559823",,"13865",,"5784",,"356741",,"129301",
"Lane Transit District","Eugene","OR","00007","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","28117","Eugene, OR","270179","141","RB","Bus Rapid Transit","DO","13","0.6581",,"0.1194",,"264.9897",,"48.0655",,"5.5131",,"2.1193",,"1833682",,"15361719",,"2786403",,"57971",,"7248651",,"655089",
"Lane Transit District","Eugene","OR","00007","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","28117","Eugene, OR","270179","141","VP","Vanpool","PT","6","6.132",,"0.9049",,"29.4976",,"4.3529",,"6.7766",,"0.1414",,"77460",,"85602",,"12632",,"2902",,"605346",,"146241",
"Tri-County Metropolitan Transportation District of Oregon, dba: TriMet","Portland","OR","00008","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","71317","Portland, OR--WA","2104238","804","DR","Demand Response","PT","195","13.7842",,"0.1447",,"143.5687",,"1.5074",,"95.2433",,"12.1848",,"7903616",,"54610680",,"573381",,"380380",,"4481884",,"4681155",
"Tri-County Metropolitan Transportation District of Oregon, dba: TriMet","Portland","OR","00008","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","71317","Portland, OR--WA","2104238","804","DR","Demand Response","TN","26","13.7831",,"0.19",,"142.397",,"1.9632",,"72.5338",,"4.5782",,"646729",,"3403431",,"46922",,"23901",,"743401",,"705851",
"Tri-County Metropolitan Transportation District of Oregon, dba: TriMet","Portland","OR","00008","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","71317","Portland, OR--WA","2104238","804","DR","Demand Response","TX","19","13.7814",,"0.1347",,"241.903",,"2.3642",,"102.3189",,"9.9339",,"265608",,"1971993",,"19273",,"8152",,"198512",,"184176",
"Tri-County Metropolitan Transportation District of Oregon, dba: TriMet","Portland","OR","00008","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","71317","Portland, OR--WA","2104238","804","LR","Light Rail","DO","102","0.8528",,"0.0794",,"464.8433",,"43.2933",,"10.7371",,"2.3878",,"19950574",,"251178563",,"23393585",,"540351",,"105192826",,"7395676",
"Tri-County Metropolitan Transportation District of Oregon, dba: TriMet","Portland","OR","00008","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","71317","Portland, OR--WA","2104238","804","MB","Bus","DO","459","0.7528",,"0.0776",,"208.5974",,"21.5098",,"9.6978",,"2.7893",,"30563164",,"393736886",,"40600671",,"1887545",,"141161285",,"20688446",
"Tri-County Metropolitan Transportation District of Oregon, dba: TriMet","Portland","OR","00008","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","71317","Portland, OR--WA","2104238","804","YR","Hybrid Rail","PT","3","0.584",,"0.0059",,"3128.6491",,"31.7468",,"98.55",,"12.39",,"67150",,"11331967",,"114987",,"3622",,"914603",,"73967",
"Klamath Tribes, dba: Quail Trail","Chiloquin","OR","00010","Tribe","Reduced Reporter","2024","00041","Oregon Non-UZA","1553447","7","CB","Commuter Bus","DO","2","0",,"0",,"155.6927",,"2.5278",,"61.5931",,"0",,"0",,"583225",,"9469",,"3746",,,,"89936",
"Klamath Tribes, dba: Quail Trail","Chiloquin","OR","00010","Tribe","Reduced Reporter","2024","00041","Oregon Non-UZA","1553447","7","DR","Demand Response","DO","5","0",,"0",,"72.9176",,"1.1892",,"61.3175",,"0",,"0",,"198117",,"3231",,"2717",,,,"78785",
"Municipality of Anchorage","Anchorage","AK","00012","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","02305","Anchorage, AK","249252","186","DR","Demand Response","PT","43","5.8755",,"0.1374",,"86.7647",,"2.0297",,"42.7474",,"6.6684",,"991865",,"7216397",,"168815",,"83172",,"1082172",,"957477",
"Municipality of Anchorage","Anchorage","AK","00012","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","02305","Anchorage, AK","249252","186","MB","Bus","DO","40","1.0617",,"0.0954",,"184.011",,"16.5364",,"11.1277",,"2.7023",,"3232273",,"33876425",,"3044346",,"184100",,"12536344",,"2387861",
"Municipality of Anchorage","Anchorage","AK","00012","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","02305","Anchorage, AK","249252","186","VP","Vanpool","PT","103","7.3851",,"1.3537",,"29.5444",,"5.4157",,"5.4554",,"0.1374",,"1679155",,"1240391",,"227371",,"41984",,"9029274",,"2001592",
"Sitka Tribe of Alaska","Sitka","AK","00014","Tribe","Reduced Reporter","2024","00002","Alaska Non-UZA","359299","3","MB","Bus","DO","3","1.7369",,"0.0606",,"178.2456",,"6.2219",,"28.6483",,"0",,"106627",,"1758749",,"61391",,"9867",,,,"139825",
"Snoqualmie Indian Tribe, dba: Snoqualmie Valley Transportation","Snoqualmie","WA","00015","Tribe","Reduced Reporter","2024","00053","Washington Non-UZA","1895776","2","DR","Demand Response","DO","2","0",,"0",,"196.2872",,"0.6079",,"322.875",,"0",,"0",,"291879",,"904",,"1487",,,,"19162",
"City of Longview, dba: RiverCities Transit","Longview","WA","00016","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","51283","Longview, WA--OR","69841","22","DR","Demand Response","PT","10","0.5606",,"0.0123",,"105.2571",,"2.3031",,"45.703",,"14.8412",,"20350",,"1659063",,"36301",,"15762",,"111788",,"133148",
"City of Longview, dba: RiverCities Transit","Longview","WA","00016","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","51283","Longview, WA--OR","69841","22","MB","Bus","DO","12","0.5069",,"0.0306",,"156.7433",,"9.4698",,"16.5519",,"4.2992",,"137613",,"4493830",,"271500",,"28670",,"1045275",,"364453",
"Stillaguamish Tribe of Indians, dba: Stillaguamish Tribal Transportation Services","Arlington","WA","00017","Tribe","Reduced Reporter","2024","00053","Washington Non-UZA","1895776","5","DR","Demand Response","DO","5","0",,"0",,"339.3893",,"4.0647",,"83.4965",,"0",,"0",,"335656",,"4020",,"989",,,,"30337",
"Ben Franklin Transit","Richland","WA","00018","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","44479","Kennewick--Richland--Pasco, WA","255401","294","DR","Demand Response","DO","61","0.95",,"0.0156",,"140.5036",,"2.3095",,"60.8365",,"7.6208",,"228898",,"14658323",,"240946",,"104327",,"1923473",,"1749832",
"Ben Franklin Transit","Richland","WA","00018","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","44479","Kennewick--Richland--Pasco, WA","255401","294","DR","Demand Response","PT","39","0.0869",,"0.0029",,"85.3198",,"2.8455",,"29.984",,"5.5142",,"14810",,"5112448",,"170506",,"59921",,"927139",,"1006778",
"Ben Franklin Transit","Richland","WA","00018","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","44479","Kennewick--Richland--Pasco, WA","255401","294","MB","Bus","DO","51","0.2742",,"0.026",,"131.3448",,"12.4646",,"10.5374",,"2.2977",,"764113",,"29367652",,"2786983",,"223592",,"12781348",,"3569623",
"Ben Franklin Transit","Richland","WA","00018","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","44479","Kennewick--Richland--Pasco, WA","255401","294","VP","Vanpool","DO","143","3.0756",,"0.4945",,"43.7403",,"7.0321",,"6.2201",,"0.1798",,"1009222",,"2041054",,"328141",,"46663",,"11352016",,"2066327",
"Intercity Transit","Olympia","WA","00019","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","65242","Olympia--Lacey, WA","208157","243","CB","Commuter Bus","DO","8","0",,"0",,"189.9214",,"9.8722",,"19.238",,"1.1713",,,,"2991642",,"155507",,"15752",,"2554115",,"372133",
"Intercity Transit","Olympia","WA","00019","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","65242","Olympia--Lacey, WA","208157","243","DR","Demand Response","DO","45","0",,"0",,"219.8161",,"1.7611",,"124.8207",,"21.4052",,,,"17225012",,"137998",,"78361",,"804710",,"812190",
"Intercity Transit","Olympia","WA","00019","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","65242","Olympia--Lacey, WA","208157","243","MB","Bus","DO","54","0.0042",,"0.0004",,"196.9319",,"17.2833",,"11.3944",,"3.0666",,"17133",,"46573420",,"4087404",,"236495",,"15187369",,"3251046",
"Intercity Transit","Olympia","WA","00019","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","65242","Olympia--Lacey, WA","208157","243","VP","Vanpool","DO","136","2.1944",,"0.1536",,"40.1995",,"2.8146",,"14.2826",,"0.4041",,"456805",,"2973114",,"208164",,"73959",,"7358241",,"2612749",
"Kitsap County Public Transportation Benefit Area Authority, dba: Kitsap Transit","Bremerton","WA","00020","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","09946","Bremerton, WA","224449","213","DR","Demand Response","DO","67","0.6504",,"0.0088",,"216.0125",,"2.938",,"73.5245",,"9.4176",,"171276",,"19360772",,"263324",,"89628",,"2055807",,"1348846",
"Kitsap County Public Transportation Benefit Area Authority, dba: Kitsap Transit","Bremerton","WA","00020","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","09946","Bremerton, WA","224449","213","DR","Demand Response","TX","2","2",,"0.0188",,"79.454",,"0.747",,"106.3692",,"6.5603",,"3814",,"202846",,"1907",,"2553",,"30920",,"29619",
"Kitsap County Public Transportation Benefit Area Authority, dba: Kitsap Transit","Bremerton","WA","00020","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","09946","Bremerton, WA","224449","213","FB","Ferryboat","DO","6","3.9763",,"0.2342",,"1118.7869",,"65.8878",,"16.9802",,"1.5215",,"4887939",,"20873208",,"1229269",,"18657",,"13718486",,"337427",
"Kitsap County Public Transportation Benefit Area Authority, dba: Kitsap Transit","Bremerton","WA","00020","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","09946","Bremerton, WA","224449","213","MB","Bus","DO","97","1.3828",,"0.0669",,"278.0802",,"13.4508",,"20.6738",,"3.2119",,"2289353",,"34228333",,"1655636",,"123088",,"10656652",,"2336300",
"Kitsap County Public Transportation Benefit Area Authority, dba: Kitsap Transit","Bremerton","WA","00020","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","09946","Bremerton, WA","224449","213","VP","Vanpool","DO","41","3.6611",,"0.2363",,"68.5642",,"4.4245",,"15.4965",,"0.6112",,"244872",,"1036485",,"66885",,"15117",,"1695694",,"453489",
"Whatcom Transportation Authority","Bellingham","WA","00021","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","06652","Bellingham, WA","128979","103","DR","Demand Response","DO","43","0.4336",,"0.005",,"256.193",,"2.9754",,"86.1025",,"15.1723",,"81530",,"16190884",,"188042",,"63198",,"1067133",,"911228",
"Whatcom Transportation Authority","Bellingham","WA","00021","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","06652","Bellingham, WA","128979","103","MB","Bus","DO","48","0.4353",,"0.0534",,"195.5848",,"23.9867",,"8.1539",,"2.7935",,"1636804",,"30658705",,"3760005",,"156754",,"10974864",,"2151307",
"Whatcom Transportation Authority","Bellingham","WA","00021","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","06652","Bellingham, WA","128979","103","VP","Vanpool","DO","12","2.9397",,"0.4366",,"55.5107",,"8.2441",,"6.7334",,"0.1797",,"87270",,"199894",,"29687",,"3601",,"1112645",,"201162",
"City of Pocatello, dba: Pocatello Regional Transit","Pocatello","ID","00022","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","70426","Pocatello, ID","72211","24","DR","Demand Response","DO","13","5.5026",,"0.2071",,"93.3832",,"3.5142",,"26.5734",,"0",,"389251",,"1879803",,"70740",,"20130",,,,"365119",
"City of Pocatello, dba: Pocatello Regional Transit","Pocatello","ID","00022","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","70426","Pocatello, ID","72211","24","MB","Bus","DO","11","1.3132",,"0.1343",,"73.4078",,"7.5089",,"9.7761",,"0",,"168120",,"1251530",,"128019",,"17049",,,,"256241",
"City of Seattle, dba: Seattle Center Monorail","Seattle","WA","00023","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","80389","Seattle--Tacoma, WA","3544011","8","MG","Monorail/Automated Guideway","PT","8","2.9151",,"1.0423",,"283.2729",,"101.2787",,"2.797",,"3.1077",,"6299288",,"6043910",,"2160883",,"21336",,"1944795",,"222498",
"Clark County Public Transportation Benefit Area Authority, dba: C-TRAN","Vancouver","WA","00024","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","71317","Portland, OR--WA","2104238","167","DR","Demand Response","DO","57","0.931",,"0.0136",,"185.3408",,"2.7142",,"68.285",,"9.5051",,"267926",,"19651872",,"287792",,"106031",,"2067498",,"1820495",
"Clark County Public Transportation Benefit Area Authority, dba: C-TRAN","Vancouver","WA","00024","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","71317","Portland, OR--WA","2104238","167","MB","Bus","DO","95","0.5769",,"0.0476",,"196.7296",,"16.2288",,"12.1222",,"3.4609",,"2686695",,"56458053",,"4657393",,"286983",,"16312907",,"4010328",
"Clark County Public Transportation Benefit Area Authority, dba: C-TRAN","Vancouver","WA","00024","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","71317","Portland, OR--WA","2104238","167","VP","Vanpool","DO","15","5.2001",,"0.2559",,"81.7375",,"4.023",,"20.3178",,"0.8715",,"106649",,"416698",,"20509",,"5098",,"478160",,"162435",
"Salem Area Mass Transit District, dba: Salem-Keizer Transit or Cherriots","Salem","OR","00025","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","78229","Salem, OR","268331","139","DR","Demand Response","PT","31","14.3791",,"0.2523",,"120.6122",,"2.1161",,"56.9962",,"9.6964",,"1508545",,"5979589",,"104912",,"49577",,"616679",,"594006",
"Salem Area Mass Transit District, dba: Salem-Keizer Transit or Cherriots","Salem","OR","00025","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","78229","Salem, OR","268331","139","MB","Bus","DO","55","0.7277",,"0.0589",,"193.6037",,"15.6598",,"12.3631",,"4.7671",,"2349710",,"39917599",,"3228778",,"206182",,"8373576",,"2526908",
"Salem Area Mass Transit District, dba: Salem-Keizer Transit or Cherriots","Salem","OR","00025","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","78229","Salem, OR","268331","139","MB","Bus","PT","13","1.2798",,"0.0502",,"112.6221",,"4.4159",,"25.504",,"1.8627",,"136875",,"2727708",,"106952",,"24220",,"1464389",,"522268",
"Salem Area Mass Transit District, dba: Salem-Keizer Transit or Cherriots","Salem","OR","00025","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","78229","Salem, OR","268331","139","VP","Vanpool","PT","40","5.6329",,"1.3023",,"30.1403",,"6.9683",,"4.3253",,"0.1703",,"473178",,"363341",,"84003",,"12055",,"2133221",,"492347",
"County of Pierce, dba: Pierce County Ferry","Tacoma","WA","00028","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","80389","Seattle--Tacoma, WA","3544011","2","FB","Ferryboat","PT","2","7.1852",,"0.4215",,"1423.5133",,"83.513",,"17.0454",,"4.3291",,"3237898",,"7681278",,"450636",,"5396",,"1774340",,"43216",
"Snohomish County Public Transportation Benefit Area Corporation, dba: Community Transit","Everett","WA","00029","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","80389","Seattle--Tacoma, WA","3544011","563","CB","Commuter Bus","DO","24","2.59",,"0.075",,"438.2561",,"12.6875",,"34.5423",,"2.1168",,"617392",,"8233955",,"238373",,"18788",,"3889750",,"405825",
"Snohomish County Public Transportation Benefit Area Corporation, dba: Community Transit","Everett","WA","00029","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","80389","Seattle--Tacoma, WA","3544011","563","CB","Commuter Bus","PT","39","0",,"0",,"387.4248",,"21.1262",,"18.3386",,"1.0261",,"1",,"8915420",,"486155",,"23012",,"8688859",,"538257",
"Snohomish County Public Transportation Benefit Area Corporation, dba: Community Transit","Everett","WA","00029","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","80389","Seattle--Tacoma, WA","3544011","563","DR","Demand Response","PT","58","2.4147",,"0.0369",,"126.2834",,"1.9321",,"65.3606",,"7.5237",,"527717",,"14284292",,"218546",,"113113",,"1898566",,"1635027",
"Snohomish County Public Transportation Benefit Area Corporation, dba: Community Transit","Everett","WA","00029","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","80389","Seattle--Tacoma, WA","3544011","563","MB","Bus","DO","141","0.7536",,"0.0381",,"281.1757",,"14.2292",,"19.7605",,"3.6067",,"5305048",,"139111699",,"7039896",,"494750",,"38570300",,"6956501",
"Snohomish County Public Transportation Benefit Area Corporation, dba: Community Transit","Everett","WA","00029","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","80389","Seattle--Tacoma, WA","3544011","563","MB","Bus","PT","18","0",,"0",,"283.4203",,"5.6761",,"49.9324",,"4.2529",,"0",,"3069442",,"61472",,"10830",,"721729",,"219321",
"Snohomish County Public Transportation Benefit Area Corporation, dba: Community Transit","Everett","WA","00029","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","80389","Seattle--Tacoma, WA","3544011","563","VP","Vanpool","DO","283","5.6274",,"0.3691",,"69.0729",,"4.531",,"15.2445",,"0.6496",,"2149451",,"5822845",,"381964",,"84300",,"8964002",,"2764318",
"Chickaloon Native Village, dba: Chickaloon Area Transit System (Transit)","Palmer","AK","00030","Tribe","Reduced Reporter","2024","00002","Alaska Non-UZA","359299","3","DR","Demand Response","DO","3","1.3081",,"0.0274",,"68.2753",,"1.4309",,"47.7134",,"0",,"3944",,"143856",,"3015",,"2107",,,,"32313",
"Shoshone-Bannock Tribes","Fort Hall","ID","00031","Tribe","Reduced Reporter","2024","00016","Idaho Non-UZA","836252","7","MB","Bus","DO","7","0",,"0",,"37.2635",,"1.553",,"23.9951",,"0",,"0",,"478054",,"19923",,"12829",,,,"258228",
